AZ,A,Z,AX,ME
16473,164,73,164ta,-43283
16474,164,74,164w,-38234
16475,164,75,164re,-27640
16475.1,164,75.1,164rem,-27520
16476,164,76,164os,-20460
16477,164,77,164ir,-7270
16477.1,164,77.1,164irm,-7000
16562,165,62,165sm,-43800
16563,165,63,165eu,-50560
16564,165,64,165gd,-56470
16565,165,65,165tb,-60660
16566,165,66,165dy,-63617.9
16566.1,165,66.1,165dym,-63509.7
16567,165,67,165ho,-64904.6
16568,165,68,165er,-64528
16569,165,69,165tm,-62936
16570,165,70,165yb,-60287
16571,165,71,165lu,-56442
16572,165,72,165hf,-51636
16573,165,73,165ta,-45855
16573.3,165,73.3,165tap,-45800
16574,165,74,165w,-38862
16575,165,75,165re,-30657
16575.1,165,75.1,165rem,-30610
16576,165,76,165os,-21650
16577,165,77,165ir,-11630
16577.1,165,77.1,165irm,-11440
16663,166,63,166eu,-46600
16664,166,64,166gd,-54400
16665,166,65,166tb,-57760
16666,166,66,166dy,-62590.1
16667,166,67,166ho,-63076.9
16667.1,166,67.1,166hom,-63070.9
16668,166,68,166er,-64931.6
16669,166,69,166tm,-61894
16669.1,166,69.1,166tmm,-61772
16670,166,70,166yb,-61588
16671,166,71,166lu,-56021
16671.1,166,71.1,166lum,-55990
16671.2,166,71.2,166lun,-55980
16672,166,72,166hf,-53859
16673,166,73,166ta,-46098
16674,166,74,166w,-41892
16675,166,75,166re,-31850
16675.1,166,75.1,166rem,-31700
16675.3,166,75.3,166rep,-31700
16676,166,76,166os,-25438
16677,166,77,166ir,-13210
16677.1,166,77.1,166irm,-13030
16678,166,78,166pt,-4790
16763,167,63,167eu,-43590
16764,167,64,167gd,-50700
16765,167,65,167tb,-55840
16766,167,66,167dy,-59940
16767,167,67,167ho,-62287
16767.1,167,67.1,167hom,-62028
16768,167,68,167er,-63296.7
16768.1,167,68.1,167erm,-63088.9
16769,167,69,167tm,-62548.3
16769.1,167,69.1,167tmm,-62368.8
16769.2,167,69.2,167tmn,-62255.5
16770,167,70,167yb,-60594
16771,167,71,167lu,-57500
16771.1,167,71.1,167lum,-57500
16772,167,72,167hf,-53468
16773,167,73,167ta,-48351
16774,167,74,167w,-42089
16775,167,75,167re,-34840
16775.1,167,75.1,167rem,-34710
16776,167,76,167os,-26500
16777,167,77,167ir,-17079
16777.1,167,77.1,167irm,-16903
16778,167,78,167pt,-6540
16864,168,64,168gd,-48100
16865,168,65,168tb,-52500
16866,168,66,168dy,-58560
16867,168,67,168ho,-60070
16867.1,168,67.1,168hom,-60010
16868,168,68,168er,-62996.7
16869,168,69,168tm,-61317.7
16870,168,70,168yb,-61575
16871,168,71,168lu,-57060
16871.1,168,71.1,168lum,-56880
16872,168,72,168hf,-55361
16873,168,73,168ta,-48394
16874,168,74,168w,-44890
16875,168,75,168re,-35790
16875.1,168,75.1,168rem,non-exist
16876,168,76,168os,-29991
16877,168,77,168ir,-18740
16877.1,168,77.1,168irm,-18690
16878,168,78,168pt,-11040
16964,169,64,169gd,-43900
16965,169,65,169tb,-50100
16966,169,66,169dy,-55600
16967,169,67,169ho,-58803
16968,169,68,169er,-60928.7
16969,169,69,169tm,-61280
16970,169,70,169yb,-60370
16970.1,169,70.1,169ybm,-60346
16971,169,71,169lu,-58077
16971.1,169,71.1,169lum,-58048
16972,169,72,169hf,-54717
16973,169,73,169ta,-50290
16974,169,74,169w,-44918
16975,169,75,169re,-38386
16975.1,169,75.1,169rem,-38241
16976,169,76,169os,-30721
16977,169,77,169ir,-22081
16977.1,169,77.1,169irm,-21927
16978,169,78,169pt,-12380
16979,169,79,169au,-1790
17065,170,65,170tb,-46340
17066,170,66,170dy,-53660
17067,170,67,170ho,-56240
17067.1,170,67.1,170hom,-56140
17068,170,68,170er,-60114.6
17069,170,69,170tm,-59800.6
17069.1,170,69.1,170tmm,-59617.4
17070,170,70,170yb,-60769
17070.1,170,70.1,170ybm,-59510.5
17071,170,71,170lu,-57310
17071.1,170,71.1,170lum,-57217
17072,170,72,170hf,-56254
17073,170,73,170ta,-50138
17074,170,74,170w,-47293
17075,170,75,170re,-38918
17076,170,76,170os,-33928
17077,170,77,170ir,-23320
17077.1,170,77.1,170irm,-23050
17078,170,78,170pt,-16306
17079,170,79,170au,-3610
17079.1,170,79.1,170aum,-3340
17165,171,65,171tb,-43500
17166,171,66,171dy,-50110
17167,171,67,171ho,-54520
17168,171,68,171er,-57724.9
17168.1,171,68.1,171erm,-57526.3
17169,171,69,171tm,-59215.6
17169.1,171,69.1,171tmm,-58790.6
17170,171,70,171yb,-59312.1
17170.1,171,70.1,171ybm,-59216.8
17170.2,171,70.2,171ybn,-59189.7
17171,171,71,171lu,-57833.5
17171.1,171,71.1,171lum,-57762.4
17172,171,72,171hf,-55431
17172.1,171,72.1,171hfm,-55409
17173,171,73,171ta,-51720
17174,171,74,171w,-47086
17175,171,75,171re,-41250
17176,171,76,171os,-34293
17177,171,77,171ir,-26430
17177.1,171,77.1,171irm,-26250
17178,171,78,171pt,-17470
17179,171,79,171au,-7565
17179.1,171,79.1,171aum,-7315
17180,171,80,171hg,3500
17266,172,66,172dy,-47730
17267,172,67,172ho,-51400
17268,172,68,172er,-56489
17269,172,69,172tm,-57380
17270,172,70,172yb,-59260.3
17271,172,71,172lu,-56741.3
17271.1,172,71.1,172lum,-56699
17271.2,172,71.2,172lun,-56632
17272,172,72,172hf,-56404
17272.1,172,72.1,172hfm,-54398
17273,172,73,172ta,-51330
17274,172,74,172w,-49097
17275,172,75,172re,-41520
17275.1,172,75.1,172rem,-41520
17276,172,76,172os,-37238
17277,172,77,172ir,-27520
17277.1,172,77.1,172irm,-27240
17278,172,78,172pt,-21101
17279,172,79,172au,-9280
17280,172,80,172hg,-1090
17366,173,66,173dy,-43780
17367,173,67,173ho,-49100
17368,173,68,173er,-53650
17369,173,69,173tm,-56259
17369.1,173,69.1,173tmm,-55941
17370,173,70,173yb,-57556.3
17370.1,173,70.1,173ybm,-57157.4
17371,173,71,173lu,-56885.8
17371.1,173,71.1,173lum,-56762.1
17372,173,72,173hf,-55412
17373,173,73,173ta,-52397
17374,173,74,173w,-48727
17375,173,75,173re,-43554
17376,173,76,173os,-37438
17377,173,77,173ir,-30272
17377.1,173,77.1,173irm,-30019
17378,173,78,173pt,-21940
17379,173,79,173au,-12820
17379.1,173,79.1,173aum,-12606
17380,173,80,173hg,-2570
17467,174,67,174ho,-45500
17468,174,68,174er,-51950
17469,174,69,174tm,-53870
17470,174,70,174yb,-56949.6
17471,174,71,174lu,-55575.3
17471.1,174,71.1,174lum,-55404.5
17472,174,72,174hf,-55846.6
17472.1,174,72.1,174hfm,-54049
17473,174,73,174ta,-51741
17474,174,74,174w,-50227
17475,174,75,174re,-43673
17476,174,76,174os,-39996
17477,174,77,174ir,-30869
17477.1,174,77.1,174irm,-30676
17478,174,78,174pt,-25319
17479,174,79,174au,-14200
17479.1,174,79.1,174aum,-13840
17480,174,80,174hg,-6647
17567,175,67,175ho,-42800
17568,175,68,175er,-48650
17569,175,69,175tm,-52320
17570,175,70,175yb,-54700.6
17570.1,175,70.1,175ybm,-54185.7
17571,175,71,175lu,-55170.7
17571.1,175,71.1,175lum,-53780
17572,175,72,175hf,-54483.8
17573,175,73,175ta,-52409
17574,175,74,175w,-49633
17575,175,75,175re,-45288
17576,175,76,175os,-40105
17577,175,77,175ir,-33429
17577.3,175,77.3,175irp,-33357
17578,175,78,175pt,-25690
17579,175,79,175au,-17440
17579.1,175,79.1,175aum,-17240
17580,175,80,175hg,-7990
17668,176,68,176er,-46500
17669,176,69,176tm,-49370
17670,176,70,176yb,-53494.1
17670.1,176,70.1,176ybm,-52444.1
17671,176,71,176lu,-53387.4
17671.1,176,71.1,176lum,-53264.5
17672,176,72,176hf,-54577.5
17673,176,73,176ta,-51370
17673.1,176,73.1,176tam,-51270
17673.2,176,73.2,176tan,-48550
17674,176,74,176w,-50642
17675,176,75,176re,-45063
17676,176,76,176os,-42098
17677,176,77,176ir,-33861
17678,176,78,176pt,-28928
17679,176,79,176au,-18540
17679.1,176,79.1,176aum,-18380
17680,176,80,176hg,-11779
17681,176,81,176tl,550
17768,177,68,177er,-42800
17769,177,69,177tm,-47470
17770,177,70,177yb,-50989.2
17770.1,177,70.1,177ybm,-50657.7
17771,177,71,177lu,-52389
17771.1,177,71.1,177lum,-51418.8
17771.2,177,71.2,177lun,-48489
17771.3,177,71.3,177lup,-52238.6
17771.4,177,71.4,177luq,-51819.3
17772,177,72,177hf,-52889.6
17772.1,177,72.1,177hfm,-51574.1
17772.2,177,72.2,177hfn,-50149.6
17772.3,177,72.3,177hfp,-51547.2
17773,177,73,177ta,-51724
17773.1,177,73.1,177tam,-51538
17773.2,177,73.2,177tan,-50369
17773.3,177,73.3,177tap,-51651
17773.4,177,73.4,177taq,-47068
17774,177,74,177w,-49702
17775,177,75,177re,-46269
17775.1,177,75.1,177rem,-46184
17776,177,76,177os,-41950
17777,177,77,177ir,-36047
17778,177,78,177pt,-29370
17778.1,177,78.1,177ptm,-29223
17779,177,79,177au,-21550
17779.1,177,79.1,177aum,-21334
17779.2,177,79.2,177aun,-21093
17780,177,80,177hg,-12780
17781,177,81,177tl,-3328
17781.1,177,81.1,177tlm,-2521
17869,178,69,178tm,-44120
17870,178,70,178yb,-49698
17871,178,71,178lu,-50343
17871.1,178,71.1,178lum,-50219
17872,178,72,178hf,-52444.3
17872.1,178,72.1,178hfm,-51296.9
17872.2,178,72.2,178hfn,-49998.6
17872.3,178,72.3,178hfp,-49870.8
17873,178,73,178ta,-50507
17873.1,178,73.1,178tam,-50410
17873.2,178,73.2,178tan,-48940
17873.3,178,73.3,178tap,-47510
17874,178,74,178w,-50416
17875,178,75,178re,-45653
17876,178,76,178os,-43546
17877,178,77,178ir,-36252
17878,178,78,178pt,-31998
17879,178,79,178au,-22330
17880,178,80,178hg,-16317
17881,178,81,178tl,-4750
17882,178,82,178pb,3568
17969,179,69,179tm,-41600
17970,179,70,179yb,-46420
17971,179,71,179lu,-49064
17971.1,179,71.1,179lum,-48472
17972,179,72,179hf,-50471.9
17972.1,179,72.1,179hfm,-50096.9
17972.2,179,72.2,179hfn,-49366.1
17973,179,73,179ta,-50366.3
17973.1,179,73.1,179tam,-49049
17973.2,179,73.2,179tan,-47727
17974,179,74,179w,-49304
17974.1,179,74.1,179wm,-49082
17975,179,75,179re,-46586
17975.1,179,75.1,179rem,-46521
17976,179,76,179os,-43020
17977,179,77,179ir,-38077
17978,179,78,179pt,-32264
17979,179,79,179au,-24952
17979.3,179,79.3,179aup,-24853
17980,179,80,179hg,-16922
17981,179,81,179tl,-8300
17981.1,179,81.1,179tlm,-7440
17982,179,82,179pb,2000
18070,180,70,180yb,-44400
18071,180,71,180lu,-46690
18071.1,180,71.1,180lum,-46680
18072,180,72,180hf,-49788.4
18072.1,180,72.1,180hfm,-48646.9
18073,180,73,180ta,-48936.2
18073.1,180,73.1,180tam,-48860.9
18073.2,180,73.2,180tan,-47485.2
18074,180,74,180w,-49644
18074.1,180,74.1,180wm,-48115
18075,180,75,180re,-45840
18076,180,76,180os,-44359
18077,180,77,180ir,-37978
18078,180,78,180pt,-34436
18079,180,79,180au,-25596
18080,180,80,180hg,-20245
18081,180,81,180tl,-9400
18082,180,82,180pb,-1939
18170,181,70,181yb,-40850
18171,181,71,181lu,-44740
18172,181,72,181hf,-47411.9
18172.1,181,72.1,181hfm,-46817
18172.2,181,72.2,181hfn,-46372
18172.3,181,72.3,181hfp,-45674
18173,181,73,181ta,-48441.6
18173.1,181,73.1,181tam,-48435.4
18173.2,181,73.2,181tan,-46957
18173.3,181,73.3,181tap,-46212
18174,181,74,181w,-48254
18175,181,75,181re,-46511
18176,181,76,181os,-43550
18176.1,181,76.1,181osm,-43500
18177,181,77,181ir,-39472
18178,181,78,181pt,-34375
18179,181,79,181au,-27871
18180,181,80,181hg,-20661
18180.3,181,80.3,181hgp,-20460
18181,181,81,181tl,-12801
18181.1,181,81.1,181tlm,-11944
18182,181,82,181pb,-3140
18182.1,181,82.1,181pbm,non-exist
18271,182,71,182lu,-41880
18272,182,72,182hf,-46059
18272.1,182,72.1,182hfm,-44886
18273,182,73,182ta,-46433.3
18273.1,182,73.1,182tam,-46417
18273.2,182,73.2,182tan,-45913.7
18274,182,74,182w,-48247.5
18275,182,75,182re,-45450
18275.1,182,75.1,182rem,-45388
18276,182,76,182os,-44609
18277,182,77,182ir,-39052
18278,182,78,182pt,-36169
18279,182,79,182au,-28301
18280,182,80,182hg,-23576
18281,182,81,182tl,-13350
18281.1,182,81.1,182tlm,-13250
18281.3,182,81.3,182tlp,-12750
18282,182,82,182pb,-6826
18371,183,71,183lu,-39520
18372,183,72,183hf,-43290
18373,183,73,183ta,-45296.1
18373.1,183,73.1,183tam,-45222.9
18374,183,74,183w,-46367
18374.1,183,74.1,183wm,-46057.5
18375,183,75,183re,-45811
18375.1,183,75.1,183rem,-43903
18376,183,76,183os,-43660
18376.1,183,76.1,183osm,-43490
18377,183,77,183ir,-40197
18378,183,78,183pt,-35772
18378.1,183,78.1,183ptm,-35738
18379,183,79,183au,-30187
18379.1,183,79.1,183aum,-30114
18379.3,183,79.3,183aup,-29956
18380,183,80,183hg,-23800
18380.1,183,80.1,183hgm,-23560
18380.3,183,80.3,183hgp,-23602
18381,183,81,183tl,-16587
18381.1,183,81.1,183tlm,-15944
18381.2,183,81.2,183tln,-15611
18382,183,82,183pb,-7569
18382.1,183,82.1,183pbm,-7475
18471,184,71,184lu,-36410
18471.1,184,71.1,184lum,non-exist
18472,184,72,184hf,-41500
18472.1,184,72.1,184hfm,-40230
18473,184,73,184ta,-42841
18474,184,74,184w,-45707.3
18475,184,75,184re,-44227
18475.1,184,75.1,184rem,-44039
18476,184,76,184os,-44256.1
18477,184,77,184ir,-39611
18477.1,184,77.1,184irm,-39385
18478,184,78,184pt,-37332
18478.1,184,78.1,184ptm,-35493
18479,184,79,184au,-30319
18479.1,184,79.1,184aum,-30251
18479.2,184,79.2,184aun,-30091
18480,184,80,184hg,-26349
18481,184,81,184tl,-16890
18481.1,184,81.1,184tlm,-16790
18481.2,184,81.2,184tln,-16390
18482,184,82,184pb,-11045
18483,184,83,184bi,1050
18483.1,184,83.1,184bim,1200
18572,185,72,185hf,-38360
18573,185,73,185ta,-41396
18573.1,185,73.1,185tam,-40090
18574,185,74,185w,-43389.7
18574.1,185,74.1,185wm,-43192.3
18575,185,75,185re,-43822.2
18575.1,185,75.1,185rem,-41698.2
18576,185,76,185os,-42809.4
18576.1,185,76.1,185osm,-42707.1
18577,185,77,185ir,-40336
18578,185,78,185pt,-36680
18578.1,185,78.1,185ptm,-36580
18579,185,79,185au,-31867
18579.1,185,79.1,185aum,-31770
18580,185,80,185hg,-26176
18580.1,185,80.1,185hgm,-26072
18581,185,81,185tl,-19760
18581.1,185,81.1,185tlm,-19300
18581.2,185,81.2,185tln,-18760
18582,185,82,185pb,-11541
18582.1,185,82.1,185pbm,-11480
18583,185,83,185bi,-2210
18583.1,185,83.1,185bim,-2143
18672,186,72,186hf,-36430
18673,186,73,186ta,-38610
18674,186,74,186w,-42509.5
18674.1,186,74.1,186wm,-40992.3
18674.2,186,74.2,186wxn,-38966.7
18675,186,75,186re,-41930.2
18675.1,186,75.1,186rem,-41781
18676,186,76,186os,-42999.5
18677,186,77,186ir,-39173
18677.1,186,77.1,186irm,-39172
18678,186,78,186pt,-37864
18679,186,79,186au,-31715
18679.1,186,79.1,186aum,-31487
18679.3,186,79.3,186aup,non-exist
18680,186,80,186hg,-28539
18680.1,186,80.1,186hgm,-26322
18681,186,81,186tl,-20190
18681.1,186,81.1,186tlm,-19874
18681.2,186,81.2,186tln,-19501
18682,186,82,186pb,-14681
18683,186,83,186bi,-3170
18683.1,186,83.1,186bim,-2900
18772,187,72,187hf,-32980
18773,187,73,187ta,-36770
18774,187,74,187w,-39904.8
18775,187,75,187re,-41215.7
18776,187,76,187os,-41218.2
18777,187,77,187ir,-39716
18777.1,187,77.1,187irm,-39530
18778,187,78,187pt,-36713
18779,187,79,187au,-33005
18779.1,187,79.1,187aum,-32884
18780,187,80,187hg,-28118
18780.1,187,80.1,187hgm,-28059
18781,187,81,187tl,-22444
18781.1,187,81.1,187tlm,-22109
18782,187,82,187pb,-14980
18782.1,187,82.1,187pbm,-14969
18783,187,83,187bi,-6373
18783.1,187,83.1,187bim,-6272
18783.2,187,83.2,187bin,-6121
18872,188,72,188hf,-30880
18873,188,73,188ta,-33810
18874,188,74,188w,-38667
18875,188,75,188re,-39016.1
18875.1,188,75.1,188rem,-38844
18876,188,76,188os,-41136.4
18877,188,77,188ir,-38328
18877.1,188,77.1,188irm,-37360
18878,188,78,188pt,-37823
18879,188,79,188au,-32301
18880,188,80,188hg,-30202
18880.1,188,80.1,188hgm,-27478
18881,188,81,188tl,-22350
18881.1,188,81.1,188tlm,-22307
18881.2,188,81.2,188tln,-22038
18882,188,82,188pb,-17815
18882.1,188,82.1,188pbm,-15237
18882.2,188,82.2,188pbn,-15102
18882.3,188,82.3,188pbp,-15020
18883,188,83,188bi,-7200
18883.1,188,83.1,188bim,-7000
18884,188,84,188po,-538
18973,189,73,189ta,-31830
18974,189,74,189w,-35480
18975,189,75,189re,-37978
18976,189,76,189os,-38985.4
18976.1,189,76.1,189osm,-38954.6
18977,189,77,189ir,-38453
18977.1,189,77.1,189irm,-38081
18977.2,189,77.2,189irn,-36120
18978,189,78,189pt,-36483
18978.1,189,78.1,189ptm,-36291
18979,189,79,189au,-33582
18979.1,189,79.1,189aum,-33335
18980,189,80,189hg,-29630
18980.1,189,80.1,189hgm,-29549
18981,189,81,189tl,-24602
18981.1,189,81.1,189tlm,-24319
18982,189,82,189pb,-17880
18982.1,189,82.1,189pbm,-17840
18983,189,83,189bi,-10060
18983.1,189,83.1,189bim,-9880
18983.2,189,83.2,189bin,-9700
18984,189,84,189po,-1415
19073,190,73,190ta,-28660
19074,190,74,190w,-34300
19074.1,190,74.1,190wm,-31920
19075,190,75,190re,-35570
19075.1,190,75.1,190rem,-35360
19076,190,76,190os,-38706.3
19076.1,190,76.1,190osm,-37000.9
19077,190,77,190ir,-36751.2
19077.1,190,77.1,190irm,-36725.1
19077.2,190,77.2,190irn,-36374.8
19077.3,190,77.3,190irp,-36715
19077.4,190,77.4,190irq,-36433.6
19078,190,78,190pt,-37323
19079,190,79,190au,-32881
19079.1,190,79.1,190aum,-32680
19080,190,80,190hg,-31370
19081,190,81,190tl,-24330
19081.1,190,81.1,190tlm,-24200
19081.2,190,81.2,190tln,-24040
19081.3,190,81.3,190tlp,-23920
19082,190,82,190pb,-20417
19082.1,190,82.1,190pbm,-17802
19082.2,190,82.2,190pbn,-17799
19082.3,190,82.3,190pbp,-17759
19083,190,83,190bi,-10900
19083.1,190,83.1,190bim,-10483
19083.2,190,83.2,190bin,-10210
19084,190,84,190po,-4563
19174,191,74,191w,-31110
19175,191,75,191re,-34349
19176,191,76,191os,-36393.7
19176.1,191,76.1,191osm,-36319.3
19177,191,77,191ir,-36706.4
19177.1,191,77.1,191irm,-36535.2
19177.2,191,77.2,191irn,-34590
19178,191,78,191pt,-35698
19178.1,191,78.1,191ptm,-35549
19179,191,79,191au,-33810
19179.1,191,79.1,191aum,-33540
19180,191,80,191hg,-30593
19180.1,191,80.1,191hgm,-30470
19181,191,81,191tl,-26281
19181.1,191,81.1,191tlm,-25984
19182,191,82,191pb,-20250
19182.1,191,82.1,191pbm,-20231
19183,191,83,191bi,-13240
19183.1,191,83.1,191bim,-13000
19184,191,84,191po,-5054
19184.1,191,84.1,191pom,-5020
19274,192,74,192w,-29650
19275,192,75,192re,-31710
19276,192,76,192os,-35880.5
19276.1,192,76.1,192osm,-33865.1
19277,192,77,192ir,-34833.2
19277.1,192,77.1,192irm,-34776.5
19277.2,192,77.2,192irn,-34665.1
19278,192,78,192pt,-36292.9
19279,192,79,192au,-32777
19279.1,192,79.1,192aum,-32642
19279.2,192,79.2,192aun,-32345
19280,192,80,192hg,-32011
19281,192,81,192tl,-25870
19281.1,192,81.1,192tlm,-25710
19281.3,192,81.3,192tlp,-25694
19282,192,82,192pb,-22556
19282.1,192,82.1,192pbm,-19975
19282.2,192,82.2,192pbn,-19931
19282.3,192,82.3,192pbp,-19813
19283,192,83,192bi,-13550
19283.1,192,83.1,192bim,-13399
19284,192,84,192po,-8071
19284.1,192,84.1,192pom,-5470
19375,193,75,193re,-30300
19376,193,76,193os,-33392.6
19377,193,77,193ir,-34533.8
19377.1,193,77.1,193irm,-34453.6
19378,193,78,193pt,-34477
19378.1,193,78.1,193ptm,-34327.2
19379,193,79,193au,-33394
19379.1,193,79.1,193aum,-33104
19380,193,80,193hg,-31051
19380.1,193,80.1,193hgm,-30910
19381,193,81,193tl,-27320
19381.1,193,81.1,193tlm,-26950
19382,193,82,193pb,-22190
19382.1,193,82.1,193pbm,-22060
19383,193,83,193bi,-15873
19383.1,193,83.1,193bim,-15564
19384,193,84,193po,-8360
19384.1,193,84.1,193pom,-8260
19385,193,85,193at,-150
19475,194,75,194re,-27550
19476,194,76,194os,-32432.7
19477,194,77,194ir,-32529.3
19477.1,194,77.1,194irm,-32382.2
19477.2,194,77.2,194irn,-32160
19478,194,78,194pt,-34763.1
19479,194,79,194au,-32262
19479.1,194,79.1,194aum,-32155
19479.2,194,79.2,194aun,-31786
19480,194,80,194hg,-32193
19481,194,81,194tl,-26830
19481.1,194,81.1,194tlm,-26530
19482,194,82,194pb,-24208
19483,194,83,194bi,-15990
19483.1,194,83.1,194bim,-15880
19483.2,194,83.2,194bin,-15760
19484,194,84,194po,-11005
19484.1,194,84.1,194pom,-8480
19485,194,85,194at,-1190
19485.1,194,85.1,194atm,-711
19576,195,76,195os,-29690
19577,195,77,195ir,-31689.8
19577.1,195,77.1,195irm,-31590
19578,195,78,195pt,-32796.8
19578.1,195,78.1,195ptm,-32537.5
19579,195,79,195au,-32570
19579.1,195,79.1,195aum,-32251.4
19580,195,80,195hg,-31000
19580.1,195,80.1,195hgm,-30824
19581,195,81,195tl,-28155
19581.1,195,81.1,195tlm,-27672
19582,195,82,195pb,-23714
19582.1,195,82.1,195pbm,-23511
19583,195,83,195bi,-18024
19583.1,195,83.1,195bim,-17624
19584,195,84,195po,-11070
19584.1,195,84.1,195pom,-10964
19585,195,85,195at,-3476
19585.1,195,85.1,195atm,-3443
19586,195,86,195rn,5070
19586.1,195,86.1,195rnm,5118
19676,196,76,196os,-28280
19677,196,77,196ir,-29440
19677.1,196,77.1,196irm,-29229
19678,196,78,196pt,-32647.4
19679,196,79,196au,-31140
19679.1,196,79.1,196aum,-31055
19679.2,196,79.2,196aun,-30544
19680,196,80,196hg,-31826.7
19681,196,81,196tl,-27497
19681.1,196,81.1,196tlm,-27103
19682,196,82,196pb,-25361
19682.1,196,82.1,196pbm,-23623
19683,196,83,196bi,-18009
19683.1,196,83.1,196bim,-17842
19683.2,196,83.2,196bin,-17739
19684,196,84,196po,-13474
19684.1,196,84.1,196pom,-10984
19685,196,85,196at,-3920
19685.1,196,85.1,196atm,-3950
19685.2,196,85.2,196atn,-3760
19686,196,86,196rn,1970
19777,197,77,197ir,-28268
19777.1,197,77.1,197irm,-28153
19778,197,78,197pt,-30422.4
19778.1,197,78.1,197ptm,-30022.8
19779,197,79,197au,-31141.1
19779.1,197,79.1,197aum,-30732
19780,197,80,197hg,-30541
19780.1,197,80.1,197hgm,-30242
19781,197,81,197tl,-28341
19781.1,197,81.1,197tlm,-27733
19782,197,82,197pb,-24749
19782.1,197,82.1,197pbm,-24429
19782.2,197,82.2,197pbn,-22835
19783,197,83,197bi,-19688
19783.1,197,83.1,197bim,-19000
19784,197,84,197po,-13360
19784.1,197,84.1,197pom,-13120
19785,197,85,197at,-6340
19785.1,197,85.1,197atm,-6293
19786,197,86,197rn,1480
19786.1,197,86.1,197rnm,1670
19877,198,77,198ir,-25820
19878,198,78,198pt,-29908
19879,198,79,198au,-29582.1
19879.1,198,79.1,198aum,-29269.9
19879.2,198,79.2,198aun,-28770.4
19880,198,80,198hg,-30954.4
19881,198,81,198tl,-27490
19881.1,198,81.1,198tlm,-26950
19881.2,198,81.2,198tln,-26750
19882,198,82,198pb,-26050
19882.1,198,82.1,198pbm,-23909
19883,198,83,198bi,-19369
19883.1,198,83.1,198bim,-19085
19883.2,198,83.2,198bin,-18837
19884,198,84,198po,-15473
19884.1,198,84.1,198pom,-13619
19884.2,198,84.2,198pon,-12907
19884.3,198,84.3,198pop,-12781
19885,198,85,198at,-6670
19885.1,198,85.1,198atm,-6340
19886,198,86,198rn,-1231
19886.1,198,86.1,198rnm,non-exist
19977,199,77,199ir,-24400
19978,199,78,199pt,-27392
19978.1,199,78.1,199ptm,-26968
19979,199,79,199au,-29095
19979.1,199,79.1,199aum,-28546.1
19980,199,80,199hg,-29547.1
19980.1,199,80.1,199hgm,-29014.6
19981,199,81,199tl,-28059
19981.1,199,81.1,199tlm,-27309
19982,199,82,199pb,-25228
19982.1,199,82.1,199pbm,-24799
19982.2,199,82.2,199pbn,-22664
19983,199,83,199bi,-20798
19983.1,199,83.1,199bim,-20131
19984,199,84,199po,-15215
19984.1,199,84.1,199pom,-14903
19985,199,85,199at,-8820
19986,199,86,199rn,-1520
19986.1,199,86.1,199rnm,-1334
19987,199,87,199fr,6760
20078,200,78,200pt,-26603
20079,200,79,200au,-27270
20079.1,200,79.1,200aum,-26300
20080,200,80,200hg,-29504.1
20081,200,81,200tl,-27048
20081.1,200,81.1,200tlm,-26294
20082,200,82,200pb,-26243
20083,200,83,200bi,-20370
20083.1,200,83.1,200bim,-20270
20083.2,200,83.2,200bin,-19942
20084,200,84,200po,-16954
20085,200,85,200at,-8988
20085.1,200,85.1,200atm,-8875
20085.2,200,85.2,200atn,-8644
20086,200,86,200rn,-4006
20087,200,87,200fr,6120
20087.1,200,87.1,200frm,6180
20178,201,78,201pt,-23740
20179,201,79,201au,-26401
20180,201,80,201hg,-27663.3
20180.1,201,80.1,201hgm,-26897.1
20181,201,81,201tl,-27182
20181.1,201,81.1,201tlm,-26263
20182,201,82,201pb,-25258
20182.1,201,82.1,201pbm,-24629
20183,201,83,201bi,-21416
20183.1,201,83.1,201bim,-20570
20184,201,84,201po,-16525
20184.1,201,84.1,201pom,-16101
20185,201,85,201at,-10789
20186,201,86,201rn,-4070
20186.1,201,86.1,201rnm,-3790
20187,201,87,201fr,3600
20278,202,78,202pt,-22600
20279,202,79,202au,-24400
20280,202,80,202hg,-27345.9
20281,202,81,202tl,-25983
20281.1,202,81.1,202tlm,-25033
20282,202,82,202pb,-25934
20282.1,202,82.1,202pbm,-23764
20283,202,83,202bi,-20733
20283.1,202,83.1,202bim,-20118
20284,202,84,202po,-17924
20284.1,202,84.1,202pom,-15297
20285,202,85,202at,-10591
20285.1,202,85.1,202atm,-10401
20285.2,202,85.2,202atn,-10010
20286,202,86,202rn,-6275
20287,202,87,202fr,3140
20287.1,202,87.1,202frm,3470
20288,202,88,202ra,9210
20379,203,79,203au,-23143
20380,203,80,203hg,-25269.1
20380.1,203,80.1,203hgm,-24336
20381,203,81,203tl,-25761.2
20381.1,203,81.1,203tlm,-22360
20382,203,82,203pb,-24787
20382.1,203,82.1,203pbm,-23962
20382.2,203,82.2,203pbn,-21838
20383,203,83,203bi,-21540
20383.1,203,83.1,203bim,-20442
20384,203,84,203po,-17307
20384.1,203,84.1,203pom,-16666
20385,203,85,203at,-12163
20386,203,86,203rn,-6160
20386.1,203,86.1,203rnm,-5798
20387,203,87,203fr,861
20388,203,88,203ra,8640
20388.1,203,88.1,203ram,8860
20479,204,79,204au,-20750
20480,204,80,204hg,-24690.2
20481,204,81,204tl,-24346
20481.1,204,81.1,204tlm,-23242
20481.2,204,81.2,204tln,-21850
